Date,Risk Level,Premium (USD),Suggessted Price (USD),NotificationID
1-Jan-22,High,22,1500,
2-Jan-22,High,22,1500,
3-Jan-22,High,22,1500,
4-Jan-22,High,22,1500,
5-Jan-22,High,22,1500,
6-Jan-22,High,22,1500,
7-Jan-22,High,22,1500,
8-Jan-22,High,22,1500,
9-Jan-22,High,22,1500,
10-Jan-22,High,22,1500,
11-Jan-22,High,22,1500,
12-Jan-22,High,22,1500,
13-Jan-22,High,22,1500,
14-Jan-22,High,22,1500,
15-Jan-22,High,22,1500,
16-Jan-22,High,22,1500,
17-Jan-22,High,22,1500,
18-Jan-22,High,22,1500,
19-Jan-22,High,22,1500,
20-Jan-22,High,22,1500,
21-Jan-22,High,22,1500,
22-Jan-22,High,22,1500,
23-Jan-22,High,22,1500,
24-Jan-22,High,22,1500,
25-Jan-22,High,22,1500,
26-Jan-22,Low,22,22,
27-Jan-22,Low,22,22,
28-Jan-22,High,22,1500,
29-Jan-22,High,22,1500,
30-Jan-22,High,22,1500,
